Layer types:,Supported,Notes
Solid,Yes,
Image,Yes,
Text,Yes,
Shape,Yes,
Video,Yes,mp4(h264/h265) only
Null,Yes,
Camera,Yes,1 and 2 nodes
Composition,Yes,
Transforms,Supported,Notes
Position (2d/3d),Yes,
Position (2d/3d) separated,No,
Rotation (2d/3d),Yes,
Scale (2d/3d),Yes,
Anchor point (2d/3d),Yes,
Orientation ,Yes,
Parenting,Yes,
Opacity,Yes,
Auto Orient,No,
,,
Animation,Supported,Notes
Linear interpolation,Yes,
Bezier interpolation,Yes,
Hold interpolation,Yes,
Spatial Bezier Interpolation,?,
Rove Across Time,No,
,,
Trackmatte,Supported,Notes
Alpha Matte,Yes,
Alpha Inverted Matte,Yes,
Luma Matte,Yes,
Luma Inverted Matte,Yes,
,,
Mask,Supported,Notes
Mask Opacity,Yes,
Add,Yes,
Subtract,No,
Intersect,No,
Lighten,No,
Darken,No,
Difference,No,
Expansion,No,
Feather,No,
,,
Blend modes,Supported,Notes
Normal,Yes,
Multiply,Yes,
Screen,Yes,
Overlay,Yes,
Darken,Yes,
Lighten,Yes,
Color Dodge,Yes,
Color Burn,Yes,
Hard Light,Yes,
Soft Light,Yes,
Difference,Yes,
Exclusion,Yes,
Hue,Yes,
Saturation,Yes,
Color,Yes,
Luminosity,Yes,
Add,Yes,
Darker Color,No,
Linear Burn,No,
Linear Dodge,No,
Linear Light,No,
Vivid Light,No,
Pin Light,No,
Hard Mix,No,
Subtract,No,
Divide,No,
Lighter Color,No,
,,
Text,Supported,Notes
Alignment,,
Fill,,
Stroke,,
Tracking,,
Kerning,,Metric only
Spacing,,
RTL/LTR mix,No,
Unicode(Multilanguage),No,
Ligatures,,
Emojis,,
Text along path,No,
Text Range Selection/Animation,Supported,Notes
Position,Yes,
Pivot,No,
Rotation,Yes,
Scale,Yes,
Opacity,Yes,
Tracking,No,
Fill Color,No,
Stroke Color,No,
,,
Units - percentage,Yes,
Units - index,,
Based On - Characters,Yes,
Based On - Characters Excluding Spaces,,
Based On - Words,,
Based On - Lines,,
Mode - Add,,
Mode - Subtract,,
Mode - Intersect,,
Mode - Min,,
Mode - Max,,
Mode - Difference,,
Shape - Square,Yes,
Shape - Round,Yes,
Shape - Triangle,,
Shape - Smooth,,
Shape - Ramp up,,
Shape - Ramp down,,
,,
Time,Supported,Notes
Time stretch,No,
Time remap,No,
Protected regions,No,
,,
,,
,,
,,
,,
,,
Effects,Supported,Notes
Motion blur,,
Gaussian blur,Yes,
Corner Pin,No,
Fill,Yes,Color fill
Drop Shadow,Yes,
Gradient ramp,Yes,
Optic Compensation,Yes,
Threshold,Yes,
